0,0,0,0,0
0.0,0.0,0.0,0.0,-0.0,-1.545507311820984
0.0,0.0,0.0,1.5176865417743091e-06,2.2934538719709963e-05,-1.5457450151443481
0.0,0.0,0.0,7.433665814460255e-06,1.0625125469232447e-05,-1.5463134050369258
0.0,0.0,0.0,7.433670361933767e-06,1.0625119102769533e-05,-1.546266794204712
0.0,0.0,0.0,1.3538734492613001e-05,4.8862777475733324e-05,-1.5475292205810547
0.0,0.0,0.0,9.560191756463615e-06,5.4817268392071135e-05,-1.5467346906661987
0.0,0.0,0.0,4.346889909356838e-06,9.161124762613326e-05,-1.5455163717269897
-3.625639023294222e-05,1.3770341350527358e-06,0.01471002013801023,-4.958107456332071e-05,-9.060155571205541e-05,-1.5461616516113283
-7.454655428760595e-05,1.5000454783021372e-05,0.09296862931743012,1.1823007298517046e-05,5.8835510571952916e-05,-1.5462422370910642
-5.596947976865627e-05,1.6811242754095646e-05,0.24649254740771193,1.2868500562035475e-05,2.0175271856714968e-05,-1.5462427139282229
-3.918750982947194e-05,1.2971818943697248e-05,0.4220422167080733,1.2945775779371619e-05,1.564900048833806e-05,-1.5462698936462402
-5.393913679839453e-06,6.257722840383539e-06,0.5967802946772622,1.2607031749212181e-05,-2.5837833163677718e-05,-1.5462692975997927
-2.9522776894650106e-05,-3.560114726024668e-05,0.7217854739049593,-4.085267573827878e-05,1.6828249499667446e-05,-1.5462692975997925
-1.1145573630327992e-05,7.1536628884129445e-06,0.7990012281089315,4.99320412927773e-06,-1.0390396710135976e-05,-1.5462592840194704
-3.974989136920081e-05,1.1029128031059403e-05,0.850003654264434,5.8034866015077535e-06,3.548234235495329e-05,-1.5462329387664795
8.192424173407995e-06,4.23394675978282e-05,0.8824227642536752,4.963901301380246e-05,-1.631959639780689e-05,-1.5454760789871216
4.2915549293457055e-06,-1.8422615543822735e-05,0.8978408563760287,-5.976637567073342e-06,-6.358964128594378e-06,-1.5454795360565188
-2.041248754734569e-05,-1.855251101717649e-05,0.9117647891255023,-1.254709059139714e-05,1.2263071766938085e-05,-1.5454444885253908
-2.0517103141899684e-05,-3.2467148373007e-07,0.9242355428244408,1.462057116441429e-05,1.232717659149785e-05,-1.5454790592193606
-1.5318404253924038e-05,-1.7387973712145163e-07,0.9356927454310348,1.2777022675436457e-05,1.2372847777442075e-05,-1.5454792976379397
-2.0156546580445605e-05,4.469708738528753e-06,0.945967946912743,2.784174466796685e-05,1.546840576338582e-05,-1.5454417467117314
-1.686159342320376e-05,-5.032777448432985e-05,0.954872818676544,-3.242673847125845e-05,1.7653250324656262e-05,-1.5454491376876833
7.39304643879988e-06,4.923794519962429e-06,0.9630310978872823,2.4949453290901147e-05,3.0564042390324163e-06,-1.5454862117767334
-1.0691674614100666e-05,-4.709830196468853e-05,0.970229322240762,-3.033209577552043e-05,1.9806338968919587e-05,-1.5454517602920532
3.6549332303160376e-05,1.664673274518208e-05,0.9763411303527731,3.455780097283423e-05,-2.3519736714661125e-05,-1.5454516410827634
